w1,w2,F1,F2,F1+F2
0.0,1.0,1.4798948838975694,9.092777777777778,10.572672661675348
0.02,0.98,1.4798948838975694,9.092777777777778,10.572672661675348
0.04,0.96,1.2936919487847223,7.423280707465278,8.71697265625
0.06,0.94,1.2936919487847223,7.423280707465278,8.71697265625
0.08,0.92,1.2936919487847223,7.423280707465278,8.71697265625
0.1,0.9,1.2936919487847223,7.423280707465278,8.71697265625
0.12,0.88,1.2936919487847223,7.423280707465278,8.71697265625
0.14,0.86,1.2936919487847223,7.423280707465278,8.71697265625
0.16,0.84,1.2936919487847223,7.423280707465278,8.71697265625
0.18,0.82,1.2936919487847223,7.423280707465278,8.71697265625
0.2,0.8,1.2936919487847223,7.423280707465278,8.71697265625
0.22,0.78,1.2936919487847223,7.423280707465278,8.71697265625
0.24,0.76,1.2936919487847223,7.423280707465278,8.71697265625
0.26,0.74,1.2936919487847223,7.291902669270834,8.585594618055556
0.28,0.72,1.2936919487847223,7.291902669270834,8.585594618055556
0.3,0.7,1.2936919487847223,7.291902669270834,8.585594618055556
0.32,0.68,1.2936919487847223,7.291902669270834,8.585594618055556
0.34,0.66,1.2936919487847223,7.291902669270834,8.585594618055556
0.36,0.64,1.2936919487847223,7.291902669270834,8.585594618055556
0.38,0.62,1.2936919487847223,7.291902669270834,8.585594618055556
0.4,0.6,1.2936919487847223,7.291902669270834,8.585594618055556
0.42,0.58,1.2936919487847223,7.291902669270834,8.585594618055556
0.44,0.56,1.2936919487847223,7.291902669270834,8.585594618055556
0.46,0.54,1.2936919487847223,7.291902669270834,8.585594618055556
0.48,0.52,1.2936919487847223,7.291902669270834,8.585594618055556
0.5,0.5,1.0417351616753472,6.832124565972222,7.873859727647569
0.52,0.48,1.0417351616753472,6.832124565972222,7.873859727647569
0.54,0.46,1.0417351616753472,6.832124565972222,7.873859727647569
0.56,0.44,1.0417351616753472,6.832124565972222,7.873859727647569
0.58,0.42,1.0417351616753472,6.832124565972222,7.873859727647569
0.6,0.4,1.0417351616753472,6.832124565972222,7.873859727647569
0.62,0.38,1.0417351616753472,6.832124565972222,7.873859727647569
0.64,0.36,1.0417351616753472,6.832124565972222,7.873859727647569
0.66,0.34,1.0417351616753472,6.832124565972222,7.873859727647569
0.68,0.32,1.0417351616753472,6.832124565972222,7.873859727647569
0.7,0.3,1.0417351616753472,6.832124565972222,7.873859727647569
0.72,0.28,1.0417351616753472,6.832124565972222,7.873859727647569
0.74,0.26,1.0417351616753472,6.832124565972222,7.873859727647569
0.76,0.24,1.5692453342013888,8.509420030381944,10.078665364583333
0.78,0.22,1.5692453342013888,8.509420030381944,10.078665364583333
0.8,0.2,1.0417351616753472,6.550364583333334,7.592099745008681
0.82,0.18,1.0417351616753472,6.550364583333334,7.592099745008681
0.84,0.16,1.0417351616753472,6.550364583333334,7.592099745008681
0.86,0.14,1.0417351616753472,6.550364583333334,7.592099745008681
0.88,0.12,1.0417351616753472,6.550364583333334,7.592099745008681
0.9,0.1,1.0417351616753472,6.550364583333334,7.592099745008681
0.92,0.08,1.0417351616753472,6.550364583333334,7.592099745008681
0.94,0.06,1.0417351616753472,6.550364583333334,7.592099745008681
0.96,0.04,1.0417351616753472,6.550364583333334,7.592099745008681
0.98,0.02,1.657367892795139,9.45696072048611,11.114328613281248
1.0,0.0,1.657367892795139,9.45696072048611,11.114328613281248
