w1,w2,F1,F2,F1+F2
0.0,1.0,1.7652292209201388,6.538674587673611,8.30390380859375
0.02,0.98,1.7652292209201388,6.538674587673611,8.30390380859375
0.04,0.96,1.7652292209201388,6.538674587673611,8.30390380859375
0.06,0.94,2.1810074869791665,8.253399522569444,10.434407009548611
0.08,0.92,2.1810074869791665,8.253399522569444,10.434407009548611
0.1,0.9,2.1810074869791665,8.253399522569444,10.434407009548611
0.12,0.88,2.1810074869791665,8.253399522569444,10.434407009548611
0.14,0.86,2.1810074869791665,8.253399522569444,10.434407009548611
0.16,0.84,2.1810074869791665,8.253399522569444,10.434407009548611
0.18,0.82,2.1810074869791665,8.253399522569444,10.434407009548611
0.2,0.8,2.018851047092014,7.590556640625,9.609407687717013
0.22,0.78,2.018851047092014,7.590556640625,9.609407687717013
0.24,0.76,2.018851047092014,7.590556640625,9.609407687717013
0.26,0.74,2.018851047092014,7.590556640625,9.609407687717013
0.28,0.72,2.018851047092014,7.590556640625,9.609407687717013
0.3,0.7,1.2004939778645833,4.908889431423611,6.109383409288194
0.32,0.68,1.2004939778645833,4.908889431423611,6.109383409288194
0.34,0.66,1.2004939778645833,4.908889431423611,6.109383409288194
0.36,0.64,1.2004939778645833,4.908889431423611,6.109383409288194
0.38,0.62,1.1827829318576388,4.728838433159722,5.911621365017361
0.4,0.6,1.7067104763454861,8.302166341145833,10.00887681749132
0.42,0.58,1.7067104763454861,8.302166341145833,10.00887681749132
0.44,0.56,1.7067104763454861,8.302166341145833,10.00887681749132
0.46,0.54,1.7067104763454861,8.302166341145833,10.00887681749132
0.48,0.52,2.0306024848090276,8.541195746527778,10.571798231336807
0.5,0.5,1.4306247287326388,7.528761393229167,8.959386121961806
0.52,0.48,1.4306247287326388,7.528761393229167,8.959386121961806
0.54,0.46,1.3644548882378473,5.577499457465278,6.941954345703125
0.56,0.44,1.3644548882378473,5.577499457465278,6.941954345703125
0.58,0.42,1.9136383734809028,7.911042751736111,9.824681125217014
0.6,0.4,1.9136383734809028,7.911042751736111,9.824681125217014
0.62,0.38,1.9136383734809028,7.911042751736111,9.824681125217014
0.64,0.36,1.9136383734809028,7.911042751736111,9.824681125217014
0.66,0.34,2.2323158094618054,8.752408311631944,10.98472412109375
0.68,0.32,2.2323158094618054,8.752408311631944,10.98472412109375
0.7,0.3,2.095244140625,8.082650282118056,10.177894422743057
0.72,0.28,2.095244140625,8.082650282118056,10.177894422743057
0.74,0.26,2.095244140625,8.082650282118056,10.177894422743057
0.76,0.24,1.3644548882378473,5.577499457465278,6.941954345703125
0.78,0.22,1.3644548882378473,5.577499457465278,6.941954345703125
0.8,0.2,2.095244140625,8.082650282118056,10.177894422743057
0.82,0.18,2.095244140625,8.082650282118056,10.177894422743057
0.84,0.16,2.095244140625,8.082650282118056,10.177894422743057
0.86,0.14,2.095244140625,8.082650282118056,10.177894422743057
0.88,0.12,2.095244140625,8.082650282118056,10.177894422743057
0.9,0.1,2.095244140625,8.082650282118056,10.177894422743057
0.92,0.08,2.2323158094618054,8.752408311631944,10.98472412109375
0.94,0.06,2.127266438802083,8.750150824652778,10.877417263454861
0.96,0.04,2.127266438802083,8.750150824652778,10.877417263454861
0.98,0.02,2.127266438802083,8.750150824652778,10.877417263454861
1.0,0.0,2.127266438802083,8.750150824652778,10.877417263454861
