w1,w2,F1,F2,F1+F2
0.0,1.0,1.8763387044270834,7.898641493055556,9.77498019748264
0.02,0.98,1.527024875217014,6.593394097222222,8.120418972439236
0.04,0.96,2.301005859375,8.77813693576389,11.079142795138889
0.06,0.94,2.450601128472222,9.780591362847222,12.231192491319444
0.08,0.92,2.1120918782552085,9.426349826388888,11.538441704644097
0.1,0.9,2.1120918782552085,9.426349826388888,11.538441704644097
0.12,0.88,2.1120918782552085,9.426349826388888,11.538441704644097
0.14,0.86,2.1120918782552085,9.426349826388888,11.538441704644097
0.16,0.84,2.1120918782552085,9.426349826388888,11.538441704644097
0.18,0.82,2.1120918782552085,9.426349826388888,11.538441704644097
0.2,0.8,2.1120918782552085,9.411363932291666,11.523455810546874
0.22,0.78,2.1120918782552085,9.411363932291666,11.523455810546874
0.24,0.76,2.1120918782552085,9.426349826388888,11.538441704644097
0.26,0.74,2.1120918782552085,9.426349826388888,11.538441704644097
0.28,0.72,2.1120918782552085,9.426349826388888,11.538441704644097
0.3,0.7,2.1120918782552085,9.426349826388888,11.538441704644097
0.32,0.68,2.1120918782552085,9.426349826388888,11.538441704644097
0.34,0.66,2.1120918782552085,9.426349826388888,11.538441704644097
0.36,0.64,2.1120918782552085,9.426349826388888,11.538441704644097
0.38,0.62,2.1120918782552085,9.426349826388888,11.538441704644097
0.4,0.6,1.1652452256944446,6.405706380208334,7.570951605902778
0.42,0.58,1.1652452256944446,6.405706380208334,7.570951605902778
0.44,0.56,1.717143283420139,7.683321940104166,9.400465223524305
0.46,0.54,1.717143283420139,7.683321940104166,9.400465223524305
0.48,0.52,1.717143283420139,7.683321940104166,9.400465223524305
0.5,0.5,1.717143283420139,7.683321940104166,9.400465223524305
0.52,0.48,1.717143283420139,7.683321940104166,9.400465223524305
0.54,0.46,2.2267186143663196,8.675319010416667,10.902037624782986
0.56,0.44,2.2267186143663196,8.675319010416667,10.902037624782986
0.58,0.42,2.315879177517361,10.343995225694444,12.659874403211806
0.6,0.4,2.174671630859375,8.706640625,10.881312255859376
0.62,0.38,2.174671630859375,8.706640625,10.881312255859376
0.64,0.36,2.1797855631510417,9.550977647569445,11.730763210720486
0.66,0.34,1.7933428276909722,8.231298828125,10.024641655815973
0.68,0.32,1.7933428276909722,8.231298828125,10.024641655815973
0.7,0.3,1.8099278428819445,8.420127495659722,10.230055338541666
0.72,0.28,1.8099278428819445,8.420127495659722,10.230055338541666
0.74,0.26,1.8099278428819445,8.420127495659722,10.230055338541666
0.76,0.24,1.8099278428819445,8.420127495659722,10.230055338541666
0.78,0.22,1.9022417534722222,8.874099392361112,10.776341145833333
0.8,0.2,1.9022417534722222,8.874099392361112,10.776341145833333
0.82,0.18,1.9049220106336806,8.952571614583333,10.857493625217014
0.84,0.16,1.9049220106336806,8.952571614583333,10.857493625217014
0.86,0.14,1.9049220106336806,8.952571614583333,10.857493625217014
0.88,0.12,1.9049220106336806,8.952571614583333,10.857493625217014
0.9,0.1,1.9049220106336806,8.952571614583333,10.857493625217014
0.92,0.08,1.7454889594184029,7.808772786458333,9.554261745876737
0.94,0.06,1.6544358995225694,7.109187282986111,8.763623182508681
0.96,0.04,1.6544358995225694,7.109187282986111,8.763623182508681
0.98,0.02,1.6544358995225694,7.109187282986111,8.763623182508681
1.0,0.0,1.6544358995225694,7.109187282986111,8.763623182508681
